Set,Price_Euro,Pieces,Minifigs
Corner Garage,179.99,2569.0,6.0
Ford Mustang,169.99,1471.0,
NASA Apollo 11 Lunar Lander,99.99,1087.0,2.0
Gingerbread House,89.99,1477.0,2.0
Harley-Davidson Fat Boy,89.99,1023.0,
Woody & RC,9.74,69.0,1.0
Duke Caboom's Stunt Show,19.49,120.0,2.0
Buzz and Bo Peep's Playground Adventure,24.36,139.0,3.0
RV Vacation,34.11,178.0,3.0
Buzz & Woody's Carnival Mania!,49.99,230.0,5.0
Carnival Thrill Coaster,19.49,98.0,2.0
My First Tow Truck,9.74,11.0,
My First Balancing Animals,14.61,15.0,
My First Fun Puzzle,19.49,15.0,
My First Car Creations,19.99,34.0,
Creative Fun,34.99,120.0,1.0
Mickey's Vacation House,48.73,57.0,3.0
Spider-Man vs. Electro,19.99,29.0,2.0
Toy Story Train,19.99,21.0,2.0
Emmet and Lucy's Visitors from the DUPLO Planet,29.99,53.0,2.0
My First Minnie Build,9.99,10.0,
My First Mickey Build,9.74,9.0,
Frozen Ice Castle,49.99,59.0,3.0
Police Bike,9.99,8.0,1.0
Fire Truck,19.99,21.0,2.0
Police Station,29.99,38.0,3.0
Fire Station,49.99,76.0,2.0
Baby Animals,9.74,9.0,
Tropical Island,59.99,73.0,3.0
World Animals,99.99,121.0,6.0
Plane,9.99,12.0,1.0
Submarine Adventure,19.99,24.0,2.0
Bricks and Ideas,9.99,123.0,
Basic Brick Set ,19.99,300.0,
Bricks and Eyes ,29.23,451.0,
Windows of Creativity,29.23,450.0,
Creative Fun,34.11,900.0,
Star Wars: Build Your Own Adventure Galactic Missions parts,,66.0,1.0
The Book of Bedtime Builds parts,,68.0,
Harry Potter: Build Your Own Adventure parts,,101.0,1.0
Christmas Ideas parts,,41.0,
Wooden Minifigure parts,,29.0,
San Francisco,49.99,565.0,
Paris,49.99,649.0,
Trafalgar Square,79.99,1197.0,
Empire State Building,99.99,1767.0,
Burj Khalifa,39.99,333.0,
Minecraft Steve BigFig with Parrot,14.99,159.0,
Minecraft Alex BigFig with Chicken,14.99,160.0,
Minecraft Skeleton BigFig with Magma Cube,14.99,142.0,
The End Battle,19.99,222.0,2.0
The Pirate Ship Adventure,49.99,386.0,3.0
The Wool Farm,19.99,260.0,1.0
The Blaze Bridge,39.99,372.0,4.0
The Creeper Mine,79.99,834.0,4.0
The Flintstones,58.48,748.0,4.0
Steamboat Willie,87.72,751.0,2.0
Tree House,249.99,3036.0,4.0
Central Perk,79.99,1070.0,7.0
Dinosaur Fossils,59.99,910.0,2.0
My First Duck,,6.0,
Town Rescue - {Random Bag},,,
Town Rescue - Bird,,,
